station_id,troncon_id,drainage_area,region_id
030307,,188,
011707,GASP00469,2708,GASP
030310,,188,
030312,,188,
030314,MONT00413,214,MONT
030315,MONT00087,729.6,MONT
030316,MONT00026,323,MONT
030318,MONT00102,271,MONT
030322,MONT00470,96.2,MONT
030323,,16.6,
030324,,66.7,
030326,,131,
030327,MONT00498,53.3,MONT
030328,MONT00480,149,MONT
030329,MONT00178,33.6,MONT
030332,,31.2,
030333,MONT00092,63.4,MONT
030334,,3330,
030335,MONT00248,59.3,MONT
030337,MONT00395,408,MONT
030339,,583,
030340,MONT00230,235,MONT
030341,MONT00048,3310,MONT
030342,,31.2,
030343,MONT00252,31.2,MONT
030344,MONT00042,159,MONT
030345,MONT00048,3334,MONT
030346,MONT00088,585,MONT
030348,MONT00174,102,MONT
030349,,96.3,
030350,,184,
030351,,184,
030353,MONT00314,230.9,MONT
030354,,342.5,
030426,,26.3,
052235,,27.8,
0303A0,MONT00227,271,MONT
030401,MONT00577,22000,MONT
030404,,65.1,
030406,,8.6,
030409,,21200,
030415,MONT01271,308,MONT
030419,,21900,
030420,MONT00932,395,MONT
030421,MONT00543,367,MONT
030422,MONT00974,8.7,MONT
030423,MONT00926,94.1,MONT
030424,MONT00924,584,MONT
030425,MONT00902,72.6,MONT
030432,,75.45,
040132,,40.3,
030427,,6.3,
030428,,7.9,
030429,MONT01277,35.1,MONT
030430,,21453,
040627,,879,
030601,,38.4,
030801,,49,
030901,,2440,
030903,MONT01466,678,MONT
030905,MONT01337,2492,MONT
030907,MONT01470,642,MONT
030908,MONT01363,404,MONT
030915,MONT01472,227,MONT
030917,MONT01443,134,MONT
030919,MONT01361,1051,MONT
030920,MONT01537,46.5,MONT
030921,MONT01496,246,MONT
030923,MONT01478,38.5,MONT
030924,MONT01486,32.9,MONT
030925,,14.7,
030926,,554,
031101,,130,
031102,,132,
031501,SLSO00933,21.9,SLSO
031502,,12.2,
040101,,13.9,
040102,,27.1,
040103,,40.3,
040104,,155,
040105,,8.8,
040106,,24,
040107,,39,
040108,,35.4,
040109,,99.4,
040110,OUTV03263,1163,OUTV
040111,,435,
040112,,226,
040113,,435,
040114,,1330,
040115,,163,
040118,,2070,
040120,,9.8,
040121,,0,
040122,OUTV03291,311,OUTV
040123,OUTV03359,141,OUTV
040124,,9.3,
040127,OUTV03269,167,OUTV
040128,OUTV03356,54.1,OUTV
040129,OUTV03331,106,OUTV
050813,,2.2,
048603,,6032,
040135,,2052.49,
040201,OUTV00097,2570,OUTV
040202,,5440,
040203,OUTV00093,2670,OUTV
040204,OUTV00034,5479,OUTV
040206,,0,
040207,,339,
040209,,40.7,
040210,,202,
040211,,40.7,
040212,OUTV00306,40,OUTV
040231,,2.5,
040234,,40.7,
040236,,298,
040237,,432,
040238,OUTV00234,1160,OUTV
040239,,67,
040240,,517.61,
102706,,33700,
040401,OUTV00461,1300,OUTV
040402,OUTV00457,1990,OUTV
040405,,1990,
040406,OUTV00460,1331,OUTV
040407,,1259.32,
040408,,1160,
040409,OUTV00561,62.6,OUTV
040410,,73,
040411,,1050.50,
040412,,47.8,
040601,,5130,
040602,,7613,
040603,,0,
040604,,932,
040605,,1118,
040606,,0,
040607,,1310,
040608,,702,
040609,,932,
040610,,932,
040611,,0,
040612,,0,
040613,,144,
040614,,0,
040615,,0,
040618,,9350,
030284,,2934,
040623,,707,
040624,OUTV00742,4560,OUTV
040625,,9560,
040626,,9560,
030278,,1719,
040629,,1120,
040709,,400.7,
040801,,15600,
040804,,19800,
040805,,19700,
040806,,20400,
040809,OUTV01271,275,OUTV
040810,OUTV02023,1780,OUTV
040814,,1277,
040815,,337,
040827,,117,
040829,,369,
040830,OUTV01390,6768,OUTV
040840,OUTV02212,1277,OUTV
040841,OUTV02027,1646,OUTV
040842,,249.6,
041301,OUTV02655,5150,OUTV
041302,,3680,
041402,,1800,
041403,,2530,
041404,,2560,
041901,OUTM00041,4350,OUTM
041902,OUTM00046,3756,OUTM
041903,OUTM00096,2110,OUTM
042102,OUTM00284,619,OUTM
042103,OUTM00287,575,OUTM
042602,,5960,
042605,,5960,
042606,,2590,
042607,,2110,
042608,,5960,
042609,,5977,
040619,,1053,
042611,,5977,
043001,,9840,
043002,,23400,
043003,,10308,
043004,,23395,
043005,,23395,
043008,OUTM00780,984,OUTM
043009,OUTM00753,1680,OUTM
043010,OUTM00888,14100,OUTM
043012,OUTM00709,2594,OUTM
043030,OUTM01108,1090,OUTM
043031,,23295,
043108,,146548,
043114,,74300,
043116,,146000,
023427,,781,
043202,,146000,
043205,,146548,
043206,,146463,
043208,,146000,
043212,,146550,
050807,,223,
043317,,146000,
043319,,0,
043324,,0,
046404,OUTV03388,413.09,OUTV
046502,,57.8,
046701,,200,
046708,,215,
046709,OUTV03406,196,OUTV
048602,,5960,
081101,,5970,
050109,,40400,
050110,,5540,
050111,,17800,
050116,SLNO02636,2670,SLNO
050117,SLNO01445,1847.3,SLNO
050118,SLNO00951,997,SLNO
050119,SLNO01060,1387,SLNO
050125,,2670,
050126,,997,
050127,,28500,
050135,SLNO01454,1563,SLNO
050136,,0,
050139,,16.2,
050142,SLNO02897,477,SLNO
050143,SLNO01076,1080,SLNO
050144,SLNO02638,2662,SLNO
050147,,17.2,
050148,,467.1,
050302,SLNO02931,4482.1,SLNO
050304,SLNO02931,4504,SLNO
050305,SLNO02944,2870,SLNO
050307,,59,
050309,,408.3,
050402,SLNO03300,751,SLNO
050403,SLNO03248,764,SLNO
050404,,1540,
050405,,1550,
050406,,759,
050408,SLNO03245,1546,SLNO
050409,SLNO03249,646,SLNO
050423,,733,
050424,,282,
050426,SLNO03276,218,SLNO
050427,,181,
050437,,65,
104803,,24098,
050701,SLNO03347,355,SLNO
050702,SLNO03348,328,SLNO
050801,SLNO00372,1997,SLNO
050805,,223,
050806,,221,
095003,,9176,
050808,,19.5,
050809,,17.3,
050810,,10.5,
050811,SLNO00462,72.3,SLNO
050812,SLNO00460,97.8,SLNO
080809,,9855,
050901,,351,
051007,,3.7,
050906,SLNO00033,62.8,SLNO
050907,SLNO00008,52.7,SLNO
050908,,68.1,
050914,SLNO00040,58.5,SLNO
050915,SLNO00019,58.4,SLNO
050916,SLNO00029,75.5,SLNO
