RESUMER ZONES HYDROTEL VERSION;4.1.2.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
72;SOUS-BASSIN;15.000000;0.010001;5;1;0.010000;-72.23193;46.43738
73;SOUS-BASSIN;14.500000;0.004784;3;2;0.020000;-72.30207;46.40252
74;SOUS-BASSIN;21.000000;0.097082;1;1;0.010000;-71.72984;46.62778
75;SOUS-BASSIN;73.221741;0.020145;4;2548;25.480000;-71.65125;46.61267
76;SOUS-BASSIN;13.000000;0.007068;3;1;0.010000;-72.34398;46.39635
77;SOUS-BASSIN;7.110294;0.011088;3;272;2.720000;-70.56772;46.98310
78;SOUS-BASSIN;26.608610;0.020926;4;1533;15.330000;-70.65087;46.95488
79;SOUS-BASSIN;77.748894;0.030373;3;2039;20.389999;-71.50382;46.67367
80;SOUS-BASSIN;32.948277;0.051171;4;58;0.580000;-71.60672;46.65213
81;SOUS-BASSIN;1.875000;0.004949;3;8;0.080000;-70.54660;46.99323
82;SOUS-BASSIN;66.580002;0.080839;3;300;3.000000;-71.41582;46.70063
83;SOUS-BASSIN;15.768292;0.016687;7;246;2.460000;-71.33057;46.74475
84;SOUS-BASSIN;17.000000;0.009574;7;2;0.020000;-71.36546;46.73490
85;SOUS-BASSIN;56.837387;0.031552;3;658;6.580000;-71.35248;46.70582
86;SOUS-BASSIN;16.000000;0.005003;7;1;0.010000;-71.36869;46.73393
87;SOUS-BASSIN;40.030434;0.063407;3;230;2.300000;-71.30665;46.73380
88;SOUS-BASSIN;24.000000;0.032014;7;1;0.010000;-71.28818;46.74907
89;SOUS-BASSIN;22.209677;0.031909;8;62;0.620000;-71.27117;46.75751
90;SOUS-BASSIN;27.578947;0.063338;2;19;0.190000;-71.27840;46.73945
91;SOUS-BASSIN;25.789474;0.057433;4;57;0.570000;-71.27228;46.73907
92;SOUS-BASSIN;37.127659;0.053686;1;47;0.470000;-71.28929;46.73458
93;SOUS-BASSIN;45.294117;0.026548;4;136;1.360000;-71.27540;46.72457
94;SOUS-BASSIN;53.414440;0.020262;1;374;3.740000;-71.30744;46.71411
95;SOUS-BASSIN;67.990540;0.011028;3;634;6.340000;-71.30633;46.69825
96;SOUS-BASSIN;72.000000;0.011183;7;1;0.010000;-71.33817;46.69406
97;SOUS-BASSIN;72.000000;0.014058;8;3;0.030000;-71.33902;46.69344
98;SOUS-BASSIN;76.599998;0.021174;8;20;0.200000;-71.34040;46.69563
99;SOUS-BASSIN;70.000000;0.010001;1;1;0.010000;-71.33809;46.69226
100;SOUS-BASSIN;86.871918;0.022199;8;203;2.030000;-71.36481;46.68649
101;SOUS-BASSIN;83.662552;0.020585;3;243;2.430000;-71.35784;46.68240
102;SOUS-BASSIN;87.975609;0.016400;1;82;0.820000;-71.38385;46.67547
103;SOUS-BASSIN;74.736115;0.006895;3;72;0.720000;-71.33738;46.68536
104;SOUS-BASSIN;74.168831;0.005111;5;77;0.770000;-71.32684;46.68761
105;SOUS-BASSIN;83.913040;0.015947;8;230;2.300000;-71.35496;46.67523
106;SOUS-BASSIN;90.291382;0.006798;3;1915;19.150000;-71.35063;46.65454
107;SOUS-BASSIN;87.398201;0.008806;2;334;3.340000;-71.38319;46.66233
108;SOUS-BASSIN;80.255814;0.007659;3;43;0.430000;-71.32224;46.67588
109;SOUS-BASSIN;80.052086;0.006487;4;96;0.960000;-71.31372;46.68054
110;SOUS-BASSIN;87.456520;0.006793;4;138;1.380000;-71.31032;46.66966
111;SOUS-BASSIN;43.761467;0.046675;2;109;1.090000;-71.28632;46.71376
112;SOUS-BASSIN;51.895653;0.035814;4;230;2.300000;-71.27822;46.71684
