region,n,f_lac,kge_lacs_on,kge_lacs_off,gain,stations_ameliorees
outv,16,0.151,0.4992,0.2682,-0.337,0
slno,27,0.115,0.565,0.4312,-0.0916,0
sagu,19,0.157,0.7142,0.5466,-0.0631,0
gasp,15,0.016,0.7752,0.7216,-0.0272,0
