region,n_sta,meandre_med,hydrotel_med,meandre_gagne
LABI,1,0.7425998518932406,0.6441186075333476,1
CNDC,2,0.4889736598992511,0.6596220940867434,0
SLSO,30,0.6892315000029006,0.666481333300843,12
