region,station,lon,lat,aire_km2,k_recession,coeff_ecoul,ratio_et,mois_pic,cv_debit
outv,46709,-74.03260040283203,45.59333038330078,205,0.0973,0.453,1.091,4,1.92
outv,40840,-76.31697845458984,46.02021789550781,1263,0.0372,0.465,0.963,4,1.01
outv,40238,-74.48320770263672,46.36176300048828,1179,0.0589,0.562,1.023,4,1.04
outv,40110,-74.22454833984375,46.01470184326172,1176,0.0742,0.563,0.963,4,1.19
outv,40122,-74.30353546142578,46.094757080078125,312,0.0702,0.589,0.922,4,1.15
outv,40129,-74.14822387695312,46.146846771240234,105,0.0776,0.593,0.876,4,1.35
outv,40841,-76.38787078857422,46.67794418334961,1685,0.0291,0.489,0.987,5,1.04
outv,40409,-75.00060272216797,45.912200927734375,82,0.1275,0.41,1.005,4,1.57
outv,40830,-75.18276977539062,47.74485397338867,6807,0.0478,0.585,0.924,5,1.12
outv,40624,-74.85021209716797,47.261207580566406,4607,0.0324,0.561,0.982,5,0.69
slno,50409,-71.8465576171875,47.19578170776367,644,0.06,0.665,0.914,5,1.17
slno,52805,-73.4092788696289,46.682334899902344,758,0.0485,0.507,1.011,4,1.33
slno,50135,-72.60926818847656,48.02674102783203,1538,0.0557,0.624,0.815,5,1.15
slno,50119,-74.15579986572266,46.62793731689453,1379,0.0547,0.519,1.055,4,1.09
slno,50144,-73.5533218383789,47.348602294921875,2649,0.0383,0.522,0.961,5,1.08
slno,50904,-71.36672973632812,46.93959045410156,357,0.1724,0.435,1.59,4,1.4
slno,52228,-73.7376937866211,46.4306526184082,194,0.0877,0.544,1.047,4,1.51
slno,52233,-73.84530639648438,45.8875732421875,586,0.0888,0.496,1.141,4,1.61
slno,52212,-74.0367660522461,46.2244758605957,1260,0.0796,0.548,1.029,4,1.24
slno,50304,-72.26582336425781,47.24924087524414,4514,0.0496,0.574,0.98,4,1.0
slno,50801,-71.39431762695312,47.37863540649414,1966,0.0515,0.674,0.942,5,1.09
slno,52606,-73.58441925048828,46.48418045043945,208,0.0767,0.503,1.164,4,1.63
slno,50702,-71.77393341064453,46.8270149230957,323,0.0604,0.516,1.333,4,1.16
slno,51001,-71.09619140625,47.238399505615234,1167,0.0738,0.614,1.101,5,1.37
slno,52401,-73.41475677490234,46.21659469604492,201,0.0792,0.406,1.361,4,1.73
slno,51005,-71.1502456665039,47.39944076538086,271,0.0631,0.758,0.686,5,1.39
slno,52219,-73.7564926147461,46.3309440612793,1306,0.0637,0.468,1.205,4,1.33
slno,50915,-71.45822143554688,46.90140914916992,52,0.083,0.539,1.255,4,1.21
slno,52601,-73.45996856689453,46.44580841064453,1029,0.0232,0.471,1.18,4,1.29
slno,50916,-71.3247299194336,47.04109573364258,80,0.0562,0.576,1.265,4,1.46
slno,51502,-70.63981628417969,47.78010559082031,1712,0.0413,0.632,0.782,5,1.28
slno,50408,-71.77409362792969,47.13701629638672,1583,0.0639,0.664,0.927,5,1.2
slno,50812,-71.65088653564453,46.744384765625,96,0.0743,0.546,1.181,4,1.31
slso,30215,-71.81304931640625,45.102577209472656,524,0.0949,0.556,0.83,4,1.39
slso,30282,-71.22791290283203,45.43306350708008,736,0.1201,0.687,0.637,4,1.51
slso,23402,-70.71743774414062,45.952213287353516,5806,0.1181,0.572,0.858,4,1.54
slso,23432,-71.25776672363281,46.492103576660156,147,0.1028,0.571,1.061,4,2.14
slso,30262,-72.44219207763672,45.76432800292969,257,0.1234,0.548,0.805,4,1.64
slso,23004,-70.93759155273438,46.73662185668945,225,0.1208,0.486,1.216,4,1.95
slso,24003,-71.4737777709961,46.08265686035156,924,0.0864,0.618,0.799,4,1.34
slso,23401,-71.2900619506836,46.46847152709961,711,0.1018,0.542,0.967,4,1.64
slso,30106,-71.70836639404297,46.047393798828125,341,0.1816,0.623,0.784,4,1.65
slso,22601,-69.81053161621094,47.437095642089844,196,0.1026,0.494,0.874,4,1.76
slso,30299,-72.44219207763672,45.76432800292969,257,0.1307,0.548,0.804,4,1.5
slso,23429,-70.6964111328125,45.70322799682617,3054,0.0999,0.588,0.79,4,1.58
slso,23702,-72.0154800415039,46.458919525146484,392,0.1021,0.53,0.831,4,1.79
slso,23303,-70.68739318847656,46.52101516723633,1140,0.1076,0.558,1.064,4,1.41
slso,23422,-70.47032928466797,46.25688171386719,686,0.1491,0.575,0.944,4,1.69
slso,24013,-71.33610534667969,46.07097625732422,241,0.0904,0.593,0.854,4,1.74
slso,23002,-70.90982818603516,46.6734619140625,57,0.1307,0.569,1.087,4,1.91
slso,30103,-71.863525390625,45.962589263916016,1544,0.1176,0.56,0.871,4,1.49
slso,24014,-71.60930633544922,46.17012023925781,2175,0.0897,0.577,0.851,4,1.33
slso,30234,-71.50566864013672,45.350894927978516,637,0.131,0.543,0.927,4,1.58
slso,22704,-69.8875961303711,47.20881652832031,785,0.1197,0.574,0.832,4,1.76
slso,30101,-71.76023864746094,45.75253677368164,558,0.1142,0.57,0.856,4,1.5
slso,23106,-70.52206420898438,46.73948669433594,820,0.1045,0.565,0.96,4,1.59
slso,23448,-70.83624267578125,45.59127426147461,2056,0.0689,0.562,0.829,4,1.5
