region,station,troncon,meandre,LN24HA,MG24HA,MG24HI,MG24HK,MG24HQ,MG24HS,ens_med,meilleur_membre
gasp,20602,GASP02294,0.6182661005063633,0.7081449255547845,0.6980039544349346,0.7237744849874379,0.7692459963292887,0.7417141743990983,0.7176440350428428,0.737959253842409,0.7692459963292887
gasp,11003,GASP00723,0.7398055986676706,0.6758129137266784,0.7202857137299787,0.9094469193654973,0.8718645586357534,0.6868924396734272,0.7590577010195145,0.7776013574145739,0.9094469193654973
gasp,21702,GASP03025,0.6055834162558644,0.6651538149822149,0.6314427663208861,0.5810656401347777,0.612979547954321,0.6375513659299121,0.5805725154104022,0.6092623164631482,0.6651538149822149
gasp,11707,GASP00469,0.3488370592675404,0.8024478691483345,0.787130339453436,0.6644582068492922,0.6618521912102832,0.7987893709725931,0.8365490559275262,0.7586657737802541,0.8365490559275262
gasp,21407,GASP02669,0.7365900323819111,0.7523297081223096,0.785977047115421,0.8563251251615598,0.898338822062004,0.8035034897333927,0.8080010108701854,0.8580329913383881,0.898338822062004
gasp,22003,GASP03334,0.7376924542740557,0.8952675280957414,0.8874399552098509,0.7314496116973117,0.7406120689253557,0.9056211811177358,0.808063798196774,0.8206023165677924,0.9056211811177358
gasp,10903,GASP01534,,,,,,,,,
gasp,22301,GASP03654,0.604085056534206,0.7959875920956161,0.7795072420170788,0.6981780108576903,0.7665297014957939,0.8095025956619096,0.7400846502450045,0.7601073622459911,0.8095025956619096
gasp,10802,GASP01646,0.8733745610083317,0.8352607094685435,0.8521068021457248,0.8324159785261525,0.8334396510775246,0.8062100333559308,0.8462308568796101,0.8857954724334175,0.8521068021457248
gasp,21601,GASP02850,0.8243365633439019,0.8130707493529624,0.8225600386911541,0.7800672093441782,0.8293610811104437,0.8719764800137128,0.8209603864679863,0.8626227818801784,0.8719764800137128
gasp,22513,GASP03802,0.665716297482926,0.7427630626951351,0.7197429549918273,0.7752329092272858,0.7462495171010611,0.7614794524735186,0.762854444681614,0.7922617023397128,0.7752329092272858
gasp,11201,GASP01440,,,,,,,,,
gasp,22507,GASP03811,0.689900539389384,0.7088660724106521,0.6999000023090989,0.703667972668857,0.6894212408074759,0.7624827316746086,0.7125737128285603,0.7421383713359241,0.7624827316746086
gasp,11204,GASP01440,0.7498763160808846,0.7382078824646203,0.7670486113007954,0.9180621766498854,0.8723711569278916,0.7750773388266903,0.7487735830161601,0.8366506908996991,0.9180621766498854
gasp,11509,GASP00941,0.7023459140151542,0.6471739786104302,0.6578014091823503,0.8501714619108869,0.7727846914210734,0.7242769332434007,0.7708735251865068,0.7976924011290475,0.8501714619108869
gasp,10902,GASP01534,0.8678899684710208,0.7456657906762474,0.7638710734468208,0.8910401925844437,0.8661646776282149,0.75274772143166,0.841584480665877,0.8535019192729169,0.8910401925844437
gasp,20404,GASP02179,0.7050697671510582,0.7762776965511742,0.8240686397207222,0.8631380832748211,0.8421561340818282,0.7817725749257789,0.8632541346316014,0.8957464389434303,0.8632541346316014
gasp,21916,GASP03139,0.4741810541435941,0.5759930263242221,0.531612764082002,0.8016006746560874,0.7792339918533079,0.6940470385787989,0.7183295721933509,0.7495909844043842,0.8016006746560874
sagu,60202,SAGU00072,,,,,,,,,
sagu,62101,SAGU01125,,,,,,,,,
sagu,61024,SAGU00297,0.8174227084769619,0.7238237668057054,0.8175559611663422,0.8222691399153694,0.8968087674027315,0.8508665930792412,0.8447552394166782,0.874921543898958,0.8968087674027315
sagu,61901,SAGU00822,0.7131882080792749,0.8371515400196003,0.8710226238172382,0.7914775722022501,0.844438437545109,0.8257781077673452,0.8439257967275176,0.8372046946621643,0.8710226238172382
sagu,60704,SAGU00184,0.6890286431353083,0.7484215833594932,0.8622726869591768,0.8055702690804338,0.8534250837389061,0.8612405622440235,0.8407079688354592,0.8764566740586005,0.8622726869591768
sagu,60102,SAGU00034,0.7018751882390597,0.6941868102778901,0.6974895075524472,0.7460378774318941,0.7435842824927096,0.788069160607817,0.7493950458336929,0.76657225905083,0.788069160607817
sagu,60601,SAGU00151,0.5862178320554292,0.8301509313164145,0.7707068581724665,0.5820916083993128,0.6190195422791658,0.7332456331263193,0.7566447073034326,0.7119733226291494,0.8301509313164145
sagu,60901,SAGU00279,0.7073461006850386,0.8521802569983142,0.8328195816658484,0.7249842248625059,0.7907978304818182,0.8324069172563533,0.8344154544161845,0.8490837889968434,0.8521802569983142
sagu,61905,SAGU00838,,,,,,,,,
sagu,62002,SAGU01101,0.27355480476190364,0.08793411779667326,0.17484356743774332,0.5582821458971379,-0.46800889486695274,0.3435603221639223,-0.06919036796668321,0.6267946105473791,0.5582821458971379
sagu,60603,SAGU00152,0.4487234434543905,0.5995808137306063,0.5732938568613731,0.46479773854606155,0.5193890802863995,0.598908961748092,0.6084451279428241,0.5562557707277684,0.6084451279428241
sagu,62102,SAGU01329,0.676065832503319,0.7966289090908564,0.8090663281006676,0.7478468669275105,0.7689512367234032,0.78257477699718,0.7338989405267318,0.7629208967522257,0.8090663281006676
sagu,61801,SAGU01949,0.5529113289624592,0.8393788498500845,0.8464390517932139,0.7526909685890542,0.7692154677247656,0.7939103429955336,0.792627932775126,0.8059246160483425,0.8464390517932139
sagu,61307,SAGU00621,0.6375936417135256,0.6886722367388063,0.6896829347069067,0.6409201543431293,0.7095154787889375,0.6981611305518464,0.6451827326646905,0.6637281232506713,0.7095154787889375
sagu,61909,SAGU01090,0.6825844936998239,0.8464856664438514,0.8484098513906975,0.7573178770872965,0.817586404766852,0.8152919484720815,0.7748038046547251,0.8170213613334274,0.8484098513906975
sagu,62114,SAGU01125,0.7227133611930492,0.7518385291547875,0.774289309591454,0.6967361344421823,0.7327623863876411,0.7457229122402855,0.7217800934592372,0.7329201507386076,0.774289309591454
sagu,62701,SAGU00201,0.6213348019490803,0.6760541159944298,0.7159697447091132,0.7315656631252292,0.7424557563338274,0.6826548791091076,0.6713143020736896,0.721181827508163,0.7424557563338274
