region,station,lon,lat,aire_km2,cm_freshet,duree_montee_j,ratio_pic_base
slno,50144,-73.5533218383789,47.348602294921875,2649,127.7,6.0,14.4
slno,50904,-71.36672973632812,46.93959045410156,357,121.0,4.0,41.4
slno,52228,-73.7376937866211,46.4306526184082,194,119.9,4.0,31.5
slno,52233,-73.84530639648438,45.8875732421875,586,112.8,3.0,33.1
slno,52212,-74.0367660522461,46.2244758605957,1260,121.4,3.5,22.1
slno,50304,-72.26582336425781,47.24924087524414,4514,125.4,4.0,15.5
slno,50801,-71.39431762695312,47.37863540649414,1966,132.9,3.0,20.0
slno,52606,-73.58441925048828,46.48418045043945,208,120.9,3.0,37.1
slno,50702,-71.77393341064453,46.8270149230957,323,115.8,2.0,21.5
slno,51001,-71.09619140625,47.238399505615234,1167,129.7,2.0,40.0
slno,52401,-73.41475677490234,46.21659469604492,201,114.7,2.5,47.6
slno,51005,-71.1502456665039,47.39944076538086,271,131.1,2.0,40.1
slno,52219,-73.7564926147461,46.3309440612793,1306,120.3,3.5,22.9
slno,50915,-71.45822143554688,46.90140914916992,52,120.3,3.0,26.2
slno,52601,-73.45996856689453,46.44580841064453,1029,119.2,8.0,18.7
slno,50916,-71.3247299194336,47.04109573364258,80,124.0,1.0,32.9
slno,51502,-70.63981628417969,47.78010559082031,1712,133.9,3.5,27.5
slno,50408,-71.77409362792969,47.13701629638672,1583,128.0,2.0,25.9
slno,50812,-71.65088653564453,46.744384765625,96,116.0,3.0,26.6
slso,30215,-71.81304931640625,45.102577209472656,524,112.2,1.0,20.0
slso,30282,-71.22791290283203,45.43306350708008,736,114.4,2.0,42.4
slso,23402,-70.71743774414062,45.952213287353516,5806,114.5,2.0,44.1
slso,23432,-71.25776672363281,46.492103576660156,147,110.1,2.0,82.3
slso,30262,-72.44219207763672,45.76432800292969,257,110.4,2.0,43.3
slso,23004,-70.93759155273438,46.73662185668945,225,112.4,2.0,95.9
slso,24003,-71.4737777709961,46.08265686035156,924,114.4,3.0,31.0
slso,23401,-71.2900619506836,46.46847152709961,711,112.6,2.0,50.0
slso,30106,-71.70836639404297,46.047393798828125,341,112.0,2.0,51.3
slso,22601,-69.81053161621094,47.437095642089844,196,118.1,2.0,52.7
slso,30299,-72.44219207763672,45.76432800292969,257,103.5,2.5,27.7
slso,23429,-70.6964111328125,45.70322799682617,3054,115.8,2.0,43.9
slso,23702,-72.0154800415039,46.458919525146484,392,109.0,2.0,48.8
slso,23303,-70.68739318847656,46.52101516723633,1140,117.3,2.0,37.1
slso,23422,-70.47032928466797,46.25688171386719,686,115.1,2.0,69.4
slso,24013,-71.33610534667969,46.07097625732422,241,117.6,2.0,35.5
slso,23002,-70.90982818603516,46.6734619140625,57,110.6,2.0,105.5
slso,30103,-71.863525390625,45.962589263916016,1544,110.6,2.0,37.2
slso,24014,-71.60930633544922,46.17012023925781,2175,113.5,2.0,29.4
slso,30234,-71.50566864013672,45.350894927978516,637,111.8,2.0,29.9
slso,22704,-69.8875961303711,47.20881652832031,785,120.5,3.0,73.7
slso,30101,-71.76023864746094,45.75253677368164,558,112.2,2.0,32.7
slso,23106,-70.52206420898438,46.73948669433594,820,120.0,1.5,50.5
slso,23448,-70.83624267578125,45.59127426147461,2056,114.7,2.0,32.6
